L1,L2
"Iran launched over a dozen ballistic missiles last night targeting at least two bases where US military and coalition forces' are stationed in Iraq, the Pentagon said.",इराक स्थित अमरीका और सहयोगी देशों के दो वायु सेना ठिकानों पर आज तड़के एक दर्जन से अधिक रॉकेट गिराये गये।
Iran's Revolutionary Guard said the attack was in retaliation for the death of Soleimani on Friday.,ईरान के रिवोल्यूशनरी गार्ड ने कहा कि यह हमला जनरल सुलेमानी की मौत का बदला लेने के लिए किया गया।
The confusion came amid threats to American forces after the US killed top Iranian commander Qasem Soleimani.,ईरान के शीर्ष कमांडर क़ासिम सुलेमानी की बगदाद में अमरीकी हमले में मौत के बाद पश्चिम एशिया में तनाव बढ़ने के कारण यह परामर्श जारी किया है।
A notification in this regard has been issued by the finance ministry.,केन्द्र ने इस बारे में राजपत्र अधिसूचना जारी कर दी है।
"In an interview to DD News, Mr Prasad said, the law seeks to grant Indian citizenship to Hindu, Christian, Sikh, Buddhist, Jain and Parsi refugees from Pakistan, Afghanistan, and Bangladesh who entered India on or before 31st of December, 2014.","कानून के अनुसार पाकिस्तान, बंगलादेश और अफगानिस्तान से धार्मिक आधार पर प्रताड़ित छह अल्पसंख्यक समुदायों के सदस्यों के 31 दिसम्बर 2014 तक भारत में आने को अवैध प्रवासी नहीं माना जाएगा।"
Iran has declared that it will no longer abide by any of the restrictions imposed by the 2015 nuclear deal.,ट्रम्प का यह बयान ईरान की उस घोषणा के बाद आया है कि वह 2015 के परमाणु समझौते की शर्तों का पालन नहीं करेगा।
He was killed yesterday at the Baghdad International Airport.,अमरीका के एक हवाई हमले में बगदाद इंटरनेशनल हवाईअड्डे पर शुक्रवार को उसकी मौत हो गई थी।
"Earlier, hundreds of protesters gathered outside the Embassy shortly after funerals were held for fighters of Kataib Hezbollah militia killed in Sunday night strikes that the Pentagon launched in response on a rocket attack on a Kirkuk base.","इससे पहले, रविवार की रात हुए हमलों में मारे गए कताइब हिज्बुल्लाह मिलिशिया के मारे गए लड़ाकों के अंतिम संस्कार के ठीक बाद सैकड़ों प्रदर्शनकारी दूतावास के बाहर जमा हो गए थे।"
"The State Department denied reports that the Embassy had been breached, adding all personnel were secure.",अमरीकी विदेश मंत्रालय ने दूतावास की सुरक्षा में सेंध लगने की खबरों का खंडन करते हुए कहा कि सभी कर्मचारी सुरक्षित हैं।
"Quoting Revolutionary Guards sources, Fars news agency said that some 20 sensitive points of the military base were struck by fifteen missiles early this morning.",रिवोल्युशनरी गार्ड के सूत्रों का हवाला देते हुए एक समाचार एजेंसी ने कहा है कि आज सवेरे 15 संवेदनशील सैन्य ठिकानों को लक्ष्य बनाकर 15 मिसाइलों से हमला किया गया।
Home Ministry has also sought a report from the Delhi Police about the situation prevailing in the institution and the steps taken to restore peace.,गृहमंत्रालय ने विश्वविद्यालय की स्थिति के बारे में दिल्ली पुलिस से रिपोर्ट भी मांगी है ।
"It said that this is a desperate attempt by forces of anarchy, who are determined to use students as cannon fodder, create unrest to shore up their shrinking political footprint.",पार्टी ने कहा कि यह उन अराजक तत्वों की हताशापूर्ण कोशिश है जो अपने सिकुड़ते जनाधार से उबरने के उद्देश्य से अशांति का माहौल पैदा करने में विद्यार्थियों का इस्तेमाल कर रहे हैं।
"Meanwhile, JNU has sent detailed report of violence on campus, and sequence of events to the HRD Ministry.","इस बीच, जेएनयू प्रशासन ने कल शाम को विश्वविद्यालय परिसर में हुए हमले की विस्तृत रिपोर्ट मानव संसाधन विकास मंत्रालय को भेज दी है।"
"BJP's Ranjana Patil was elected Chairperson and Lalchand Patil as deputy chairperson of the ZP. The BJP got 35 votes, while MVA comprising Shiv Sena, NCP and Congress got 30 votes.",भाजपा को 35 सौ वोट और महाराष्ट्र विकास अगाड़ी को तीस वोट मिले।
The Kabaddi and gymnastics began today in the third Khelo India youth games in Guwahati.,असम के गुवाहाटी में 10 जनवरी से खेलो इंडिया युवा खेल शुरू हो रहे हैं।
Prime Minister Narendra Modi today had a telephonic conversation with French President Emmanuel Macron and conveyed his New Year greetings and good wishes.,कल फ्रांस के राष्ट्रपति इमैन्युल मैक्रों के साथ टेलीफोन पर बातचीत में रूहानी ने यह बात कही।
The umpires held several inspections but the damp patches on the pitch did not allow the match to start.,अम्पायरों ने कई बार पिच का निरीक्षण किया लेकिन उसमें पड़े गड्ढ़ों के कारण मैच आरंभ नहीं किया जा सका।
CEO of the games Avinash Joshi said that all preparations have been made for the games.,खेलों इंडिया के मुख्य कार्यकारी अधिकारी अविनाश जोशी ने बताया कि गुवाहाटी के साथ-साथ पूरा देश इस भव्य उद्घाटन का साक्षी बनेगा।
"Chief Minister Sarbanand Sonowal, senior party leader Ram Madhav, State Unit President Ranjit Kumar Dass are among the prominent leaders present on this occasion.","मुख्यमंत्री सर्बानन्द सोनोवाल, केन्द्रीय खेल मंत्री किरेन रिजीजू और कई जाने माने खिलाड़ी इस समारोह में उपस्थित रहेंगे।"
Mr Tirkey said three cases have been registered in the violent incident and investigation is underway.,पुलिस उपायुक्त ने कहा कि विश्वविद्यालय में हुई हिंसा के सिलसिले में तीन मामले दर्ज किए गए हैं और जांच चल रही है।
"In a tweet, Mr. Gehlot said that there has been a decrease in infant deaths in the state.",आज एक ट्वीट में श्री गहलोत ने कहा कि राज्य में बच्चों की मृत्यु में कमी आई है।
"After meeting with Mrs. Gandhi, Mr. Pandey told that Chief Minister Ashok Gehlot has sent a detailed report to the Congress President.",बाद में अविनाश पांडे ने बताया कि मुख्यमंत्री अशोक गहलोत ने कांग्रेस अध्यक्ष को इस मामले की विस्तृत रिपोर्ट भेज दी है।
"Under the MLAT, a country can request for obtaining evidence for criminal investigations and prosecutions.",परस्पर कानूनी सहायता संधि के अंतर्गत कोई देश आपराधिक जांच और मुकदमों के साक्ष्य प्राप्त करने का अनुरोध कर सकता है।
"Home Ministry said, by incorporating various legal and technological developments in recent years, it aims to make the documentation more compliant with international requirements.",गृह मंत्रालय ने बताया कि हाल के वर्षों में कानूनों और प्रौद्योगिकी में हुए विभिन्न बदलावों तथा अंतरराष्ट्रीय शर्तों के अनुपालन की आवश्यकताओं को ध्यान में रखकर ये दिशा निर्देश तैयार किेये गए हैं।
"370. They also answered questions posed by the delegates on various issues including arrests, internet ban and law and order situation.","उन्होंने गिरफ्तारी, इंटरनेट पर प्रतिबंध तथा कानून व्यवस्था की स्थिति सहित विभिन्न मुद्दों पर राजनयिकों के दल द्वारा पूछे गए प्रश्नों का जवाब दिया।"
"He said, technology is the strength of the Jal Jeevan Mission and it is the responsibility of scientists to develop cheap and effective technology for the recycling of water.",प्रधानमंत्री ने कहा कि प्रौद्योगिकी जल जीवन मिशन की ताकत है और वैज्ञानिकों का उत्तरदायित्व है कि वे पानी की रिसाइक्लिंग के लिए किफायती और प्रभावी प्रौद्योगिकी का विकास करें।
More than 25 accused have been arrested in connection with the violent incident in the city after the residents of the locality raised objections to police shooting a video outside the mosque.,हिंसक घटनाओं में शामिल 25 से अधिक आरोपियों को गिरफ्तार किया गया है।
In Jammu and Kashmir the vehicular traffic on the 300 Km long Jammu-Srinagar National Highway was restored for one way traffic this afternoon.,केंद्र शासित प्रदेश जम्मू-कश्मीर में एसएमएस सेवा कल रात से बहाल कर दी गई है।
He was addressing a BJP's booth-level workers rally in New Delhi today.,"वे आज नई दिल्ली में अखिल भारतीय कारोबार महासंघ - सी ए आई टी, के राष्ट्रीय कारोबार सम्मेलन को संबोधित कर रही थी।"
"Ms Sitharaman said, Government has brought a new scheme which assures a minimum monthly pension to shopkeepers and retail traders after attaining the age of  60. The Jammu and Kashmir administration revoked the Public Safety Act (PSA) against 26 individuals on Friday.","उन्होंने यह भी बताया कि सरकार एक नई योजना लाई है, जिसके अंतर्गत दुकानदारों और खुदरा व्यापारियों के लिए 60 साल की उम्र के बाद एक न्यूनतम मासिक पेंशन राशि सुनिश्चित की गई है।"
High temperatures and strong winds are threatening to worsen conditions across the country.,अधिक तापमान और तेज हवाओं की वजह से आग के और फैलने की आशंका है।
"Iraq's caretaker premier Adel Abdel Mahdi called on the angry crowd to leave the embassy, but most spent the night in dozens of tents set up outside the perimeter wall.",इराक के कार्यवाहक प्रधानमंत्री अदेल अब्देल महदी ने क्रोधित प्रदर्शनकारियों से दूतावास छोड़ने को कहा था लेकिन कई प्रदर्शनकारियों ने दूतावास के बाहर दर्जनों तंबुओं में रात गुजारी।
"Participating at an event organised by a private news channel, Mr Shah once again appealed to the countrymen especially minorities not to fall prey of alleged misinformation being spread by Opposition parties.",एक निजी समाचार चैनल पर आयोजित कार्यक्रम में भाग लेते हुए गृह मंत्री ने देशवासियों और विशेष रूप से अल्पसंख्यक समुदाय से एक बार फिर अपील की कि वे विपक्षी दलों द्वारा किए जा रहे कथित दुष्प्रचार के झांसे में ना आएं।
"The reservation for members of Scheduled Castes and Scheduled Tribes, given for the past 70 years in Lok Sabha and state assemblies, is due to end on January 25, 2020.",पिछले 70 वर्ष से दिये गये इस आरक्षण की अवधि 25 जनवरी 2020 को समाप्त हो रही है।
"The Constitution Amendment bill, which was passed by Parliament in December 2019, has to be ratified by at least 50 percent of the state assemblies before it is brought into force.",इस विधेयक को संसद ने पिछले महीने पारित किया था तथा इसे लागू करने से पहले कम से कम पचास प्रतिशत राज्य विधानसभाओं द्वारा इसका अनुमोदन किया जाना आवश्यक है।
"The LG sought a comprehensive report regarding the allocation of food-grains, dumping of stocks in snow bound areas, departmental and FCI godowns and their storage capacity.","उपराज्यपाल ने खाद्यान्न के आबंटन, बर्फबारी से ढके क्षेत्रों, विभागीय और भारतीय खाद्य निगम के गोदामों में खाद्यान्न के भंडारण और उनकी क्षमता के बारे में विस्तृत रिपोर्ट मांगी है।"
He was informed that  10.63 lakh families have been covered under Pradhan Mantri Ujjwala Yojana.,उपराज्यपाल को बताया गया कि प्रधानमंत्री उज्ज्वला योजना के अंतर्गत अभी तक दस लाख तिरसठ हज़ार परिवारों को लाया गया है।
The exhibition match at Melbourne's Rod Laver Arena will raise money for bushfire relief.,ऑस्ट्रेलिया में जंगल की आग से पीडि़तों को राहत के लिए धन जुटाने के उद्देश्य से मेलबर्न के रॉड लैवर अरेना में यह मैच 15 जनवरी को होगा।
"Tennis Australia announced that the match is slated for January 15, the week before the first Grand Slam of the year.",इसके अगले सप्ताह वर्ष का पहला ग्रैंड स्लैम टेनिस टूर्नामेंट ऑस्ट्रेलिया ओपन शुरू होगा।
Around 25 people have lost their lives so far.,अब तक 25 लोग मारे जा चुके हैं और एक हजार आठ सौ से अधिक घर जलकर राख हो चुके हैं।
"However, the Hill Council has tied up with the Army to carry about 40 tonnes of cargo twice a week for civilian requirements beginning next week.",अब इस समय पर्वतीय परिषद सेना के मालवाहक विमानों से सप्ताह में दो बाद 40 टन सामग्री लाने के लिए समझौता कियाहै।
"Speaking about the contribution of Science and Technology, Dr. Thomas said, they are an essential tool for the rapid development and effective means to growth and socio-economic development of the country.",विज्ञान और प्रौद्योगिकी का उल्लेख करते हुए उन्होंने कहा कि ये देश की आर्थिक और सामाजिक प्रगति तथा तेज विकास के लिए बेहद जरूरी है।
"Talking to news persons in Guwahati today ,state BJP President Ranjit Kumar Dass said that misinformation is being spread that  1.5 crore Hindu Bangladeshi would be settled in the state through Citizenship Amendment Act, CAA. He has not ruled out involvement of Jehadi elements in the violence during the CAA protest.",आज गुवाहाटी में पत्रकारों से बात करते हुए उन्होंने विश्वास दिलाया कि इस बात में कोई सच्चाई नहीं है कि नागरिकता संशोधन कानून द्वारा राज्य में ढ़ाई करोड़ या डेढ़ करोड़ या पचास लाख हिन्दू बांग्लादेशी लोग आ जाएंगे।
Mr. Sonowal said that the Assam government has given suggestions to the Centre on framing rules on CAA. He said that Clause 6 committee on the Assam Accord will submit its report and on the basis of their recommendations needful will do done to protect the rights of the indigenous people.,श्री सोनोवाल ने कहा कि असम सरकार ने नागरिकता संशोधन कानून पर नियम बनाने के संबंध में केन्द्र को सुझाव भेजे हैं।
Mr. Sonowal said that the Assam government has given suggestions to the Centre on framing rules on CAA. He said that Clause 6 committee on the Assam Accord will submit its report and on the basis of their recommendations needful will do done to protect the rights of the indigenous people.,उन्होंने कहा कि असम समझौते के छठे अनुच्छेद पर बनी समिति अपनी सिफारिशों से संबंधित रिपोर्ट सौंप देगी तथा राज्य के मूल निवासियों के अधिकारों के संरक्षण पर उचित कदम उठाए जाएंगे।
Navy ships and military aircraft were deployed alongside emergency crews today to provide humanitarian relief and assess the damage from one of the worst days yet in Australia's months-long bushfire crisis.,मानवीय सहायता उपलब्ध कराने और महीनों से लगी आग से नुकसान के आकलन के काम में आपात सेवा विमानों के साथ नौसैनिक पोत और सैन्य विमान भी लगाये गए हैं।
"The Saudi Press Agency reported that the Saudi King stressed upon the importance of staying calm and defusing the crisis in the region, in addition to taking all measures to reduce tension.",सऊदी शाह ने शांति बनाये रखने और क्षेत्र में संकट टालने के साथ-साथ तनाव कम करने के लिए सभी उपाय करने को भी कहा है।
"For his part, the Iraqi PM expressed his deep appreciation of the Crown Prince and the Kingdom for its interest in the security and stability of Iraq.",इराक के प्रधानमंत्री ने सऊदी अरब के शाह और वहां के युवराज के प्रति हार्दिक सम्मान व्यक्त करते हुए कहा कि क्षेत्र में सुरक्षा और स्थिरता में इराक का भी हित है।
A bench headed by Chief Justice SA Bobde accepted the status report of the CBI. It also allowed two officers to be relieved from the investigation team.,प्रधान न्यायाधीश न्यायमूर्ति एस.ए.बोबड़े ने सीबीआई की स्थिति रिपोर्ट स्वीकार कर ली।
"Meanwhile, in four cases the preliminary inquiry was conducted and later closed as no evidence was found.",बाकी चार की आरंभिक जांच की गई और सबूत न मिलने पर उन्हें बंद कर दिया गया।
"In a tweet, the President said, Guru Gobind Singh ji devoted his life to serving the people and upholding the values of truth, justice and compassion.","उन्होंने अपना जीवन सत्य, न्याय और करुणा जैसे मूल्यों की रक्षा के लिये समर्पित किया।"
"In a tweet, the President said, Guru Gobind Singh ji devoted his life to serving the people and upholding the values of truth, justice and compassion.",राष्ट्रपति ने कहा कि गुरु गोविन्द सिंह जी ने लोगों की सेवा में अपना जीवन समर्पित किया।
"The minimum temperatures, however, rose several notches above the normal in these states following the downpour.",कई स्थानों पर तापमान सामान्य से कई डिग्री नीचे है।
Punjab and Haryana also battled cold wave conditions with Faridkot being the coldest place in the two states at  3.6 degree Celsius.,पंजाब और हरियाणा में भी कड़ाके की ठंड पड़ रही है।
The Prime Minister also handed over Certificates to beneficiaries under PM KISAN from eight States and Union Territories.,श्री मोदी आठ राज्यों और केन्द्रशासित प्रदेशों के लाभार्थियों को प्रमाण पत्र भी देंगे।
"Apart from Iqbal, the five-time MLA from Matia Mahal, two Congress MCD councillors, Aley Mohammed Iqbal and Sultana Abadi also joined the AAP. This comes ahead of the assembly elections in Delhi slated for February  8. Former US Secretary of State Hillary Clinton has been appointed the new chancellor of Queen's University in Belfast, Ireland.",इकबाल के अलावा पांच बार मोतियामहल सीट से विधायक और दो बार पार्षद रहे आले मोहम्मद इकबाल और सुलताना आब्दी भी आम आदमी पार्टी में शामिल हो गए।
"In Iran, dozens of mourners were reportedly feared killed in a stampede at the burial procession of Commander Soleimani in his home town at Kerman yesterday.",ईरान के केरमान शहर में जनरल क़ासिम सुलेमानी के जनाजे के दौरान मची भगदड़ में आज दर्जनों लोगों के मारे जाने की खबर है।
"A day-long Special Session of the Gujarat Assembly concluded today with a passage of the motion supporting the 126th Constitution Amendment Bill for extending the tenure of ST/ST reservation for another 10 years and the one supporting the Citizenship (Amendment) Act, 2019.",मणिपुर विधानसभा ने एक दिवसीय सत्र में 126वें संविधान संशोधन विधेयक 2019 के समर्थन की पुष्टि करने के प्रस्ताव को सर्वसमति से पारित कर दिया।
Maharashtra Assembly today ratified bill extending quota for Scheduled Castes and Scheduled Tribes in Lok Sabha and State assemblies by 10 years.,इस विधेयक में संसद के दोनों सदनों ने अनुसूचित जाति और जनजातीयों को दिए गए आरक्षण की अवधि को दस वर्ष के लिए बढ़ाने पर सहमति दी थी।
The counting of votes that began yesterday morning is still continuing.,मतगणना कल शुरू हुई थी।
"He said, the government has the goal to be the first and immediate responder for people in distress.",उन्होंने कहा कि सरकार का यह लक्ष्य है कि आपदा में फंसे प्रवासी भारतीयों को सबसे पहले और तत्काल मदद पहुंचाई जायेगी।
"North Atlantic Treaty Organization Ambassadors will meet in Brussels today amid ongoing Middle East tensions, three days after the US killing of Iranian Major General Qassem Soleimani.","उत्तर अटलांटिक संधि संगठन, नाटो के राजदूत पश्चिम एशिया में ईरानी मेजर जनरल, कासिम सुलेमानी की अमरीकी ड्रोन हमले में मौत से उत्पन्न तनाव के बीच आज संगठन के मुख्यालय ब्रसेल्स में मिलेंगे।"
"A total of 24 nations, split into six groups, will be contesting in Perth, Brisbane and Sydney for over 10 days for the first time.","पहली बार यह प्रतियोगिता दस दिन तक चलेगी, जिसके मैच पर्थ, ब्रिस्बेन और सिडनी में खेले जाएंगे।"
"Prime Minister Narendra Modi will answer the questions and interact with selected students, where he will discuss how to beat exam stress.",प्रधानमंत्री नरेन्द्र मोदी 20 जनवरी को लोकप्रिय कार्यक्रम परीक्षा पे चर्चा में विद्यार्थियों से बातचीत करेंगे।
Several Union Ministers and BJP leaders including Rajnath Singh and Nitin Gadkari will also take part in this door to door campaign in different parts of the country.,कई केन्द्रीय मंत्री अैर भाजपा नेता देश के विभिन्न भागों में घर-घर जाकर इस अभियान का हिस्सा बन रहे हैं।
BJP President and Home Minister Amit Shah will address a conference of party booth workers in New Delhi today.,भाजपा अध्यक्ष और गृह मंत्री अमित शाह का दिल्ली में और पार्टी के कार्यकारी अध्यक्ष जगत प्रकाश नड्डा का गाजियाबाद में जनसम्पर्क अभियान में भाग लेने का कार्यक्रम है।
The Writers' Writer.,लेखकों के लेखक रखा गया है।
Over hundred global scientists in the field of ocean studies are converged in the National Institute of Ocean Technology (NIOT) in Chennai.,चेन्नई के राष्ट्रीय समुद्र प्रौद्योगिकी संस्थान में भारतीय समुद्र नेतृत्व पर कार्यशाला आयोजित की गयी है जिसमें देश विदेश के सौ से अधिक वैज्ञानिक भाग ले रहे हैं।
The scientists represent fifteen Indian Ocean Rim countries.,इस कार्यशाला में भाग ले रहे वैज्ञानिक हिन्द महासागर से लगे 15 देशों से हैं।
"United States is sending around 750 more troops to the Middle East immediately, with hundreds of troops deployed to Kuwait, following an attack by pro-Iranian demonstrators on the US Embassy in Baghdad, said the Pentagon yesterday.",कुवैत में सैकड़ों सैनिकों को तैनात करने के बाद अमरीका खाड़ी क्षेत्र में तत्काल 750 और सैन्य टुकडि़यां भेज रहा है।
Union Home Minister Amit Shah today dedicated the new campus of National Fire Service College (NFSC) under Ministry of Home affairs in Nagpur.,केंद्रीय गृह मंत्री अमित शाह ने कल नई दिल्ली में भारतीय साइबर अपराध समन्वय केंद्र (आई4सी) का उद्घाटन किया।
"According to Minister of State for NRG Department Pradeepsinh Jadeja, the Samiti will meet twice a year - once in Gujarat and next time in another state - to discuss with the State Government the preservation and promotion of heritage, arts and culture of Gujarat.",उन्होंने कहा कि पहली बैठक गुजरात में और दूसरी बैठक राज्य से बाहर होगी।
The Samiti will involve the participation of non-residents Gujarati’s participation in the State Government’s various programmes.,समिति राज्य सरकार के विभिन्न कार्यक्रमों में प्रवासी गुजरातियों को शामिल करेगी जिससे वे प्राकृतिक आपदा के दौरान अपने अपने राज्यों से गुजरात सरकार का सहयोग कर सकें।
"The bridge forms a crucial link in the 111-kilometre stretch between Katra and Banihal, which is part of the Udhampur-Srinagar-Baramulla Rail Link Project.",एक किलोमीटर और 315 मीटर लम्बा यह रेलवे पुल जम्मू कश्मीर में कटरा के निकट बक्कल और श्रीनगर के निकट कौरी के बीच संपर्क स्थापित करेगा।
The Authority has also capped at 160 rupees the amount consumers will have to pay monthly for all free to air channels.,प्राधिकरण ने फ्री टू एयर-यानी मुफ्त देखे जाने वाले चैनलों का शुल्क घटाकर 160 रुपए प्रति माह कर दिया है।
The guarantee will be available for RERA registered projects and a project will be considered stuck after it crosses the RERA deadline.,स्टेट बैंक की यह गारंटी योजना रियल एस्टेट नियमन कानून-रेरा के अंतर्गत पंजीकृत योजनाओं पर लागू होगी और रेरा की समयसीमा पार कर जाने वाली परियोजना को संकटग्रस्त परियोजना माना जाएगा।
The two Defence Ministers had discussions on enhancing the bilateral security cooperation under the framework of the India-Japan Special Strategic and Global Partnership.,दोनों नेताओं ने रक्षा क्षेत्र में दिवपक्षीय सहयोग बढ़ाने का संकल्प व्यक्त किया।
The DCs apprised the Divisional Commissioner about the number of vacant seats of Panches and Sarpanches in their respective districts besides availability of ballot boxes and its requirement.,बैठक में उपायुक्तों ने डिवीजनल कमीशनर को पंचों और सरपंचों के खाली पदों और बैलेट बॉक्सों की उपलब्धता तथा उनकी संख्या के बारे में जानकारी दी।
"Noting the killing of a senior Iranian leader by the US, Ministry said India has consistently advocated restraint and continues to do so.",अमरीकी हमले में ईरान के सर्वोच्च कमांडर की हत्या का जिक्र करते हुए बयान में कहा गया है कि भारत ने निरंतर संयम बरतने की तरफदारी की है और करता रहेगा।
"Mr Kumar informed that more than 3,500 students have already registered for the winter session of JNU. M. Jagadesh Kumar added that regular classes in the University will begin from Monday.",जवाहरलाल नेहरू विश्वविद्यालय-जेएनयू के कुलपति जगदेश कुमार ने कहा है कि सोमवार से विश्वविद्यालय में नियमित कक्षाएं शुरू हो जाएंगी।
The statement from the JNU Vice Chancellor also said that the University has strengthened the security in the campus.,बयान में कहा गया है कि विश्वविद्यालय परिसर में सुरक्षा व्यवस्था बढ़ा दी गई है।
"The Sri Lankan cricket team, led by veteran pacer Lasith Malinga, arrived in Guwahati for the three-match T20 series against India amid tight security.",भारत के साथ तीन ट्वेंटी-ट्वेंटी अंतर्राष्ट्रीय क्रिकेट मैचों की श्रृंखला के लिए श्रीलंका की टीम आज गुवाहाटी पहुंची।
"Inaugurating the Centenary celebrations of National College at Tiruchirappalli, in Tamil Nadu today, the Vice President has expressed disappointment over the fact that India still has 18-20% illiterate population, even after 70 years of independence.",उन्होंने इस बात को लेकर निराशा व्यक्त की कि आजादी के 70 वर्षों के बाद भी भारत की 18 से 20 प्रतिशत आबादी साक्षर नहीं हैं।
The statement comes a day after Uttar Pradesh Deputy Chief Minister Keshav Chandra Maurya said that organisations like PFI are responsible for inciting violence in the state and such organisations should be banned.,"श्री प्रसाद का यह बयान उत्तर प्रदेश के उपमुख्यमंत्री के.सी. मौर्य के बयान के बाद आया है, जिसमें उन्होंने कहा था कि पीएफआई राज्य में हिंसा भड़काने के लिए जिम्मेदार है।"
A total of twenty two tableau proposals including 16 from states and six from Central Ministries have been short-listed for participation in this year's Republic Day parade.,इस वर्ष गणतंत्र दिवस परेड के लिए कुल 22 झांकियों का चयन किया गया है जिनमें 16 राज्यों और छह केन्द्रीय मंत्रालयों से शामिल की गई हैं।
"The tableaux proposals received are evaluated in a series of meetings of the Expert Committee comprising of eminent persons in the field of art, culture, painting, sculpture, music and architecture.","इस समिति में कला, संस्कृति, चित्रकला, मूर्तिकला, संगीत और शिल्पकला के क्षेत्र में ख्याति प्राप्त व्यक्ति शामिल हैं।"
Several parts of North India are in grip of cold wave.,उत्तर प्रदेश में कड़ाके की ठंड पड़ रही है।
"In Bangladesh, a large number of expatriate Indians participated in the programme organized by High Commission of India in Dhaka.",इस कार्यक्रम में भारी संख्या में भारतीय प्रवासी शामिल हुए।
"He said that necessary instructions have been already issued to all Deputy Commissioners (DCs), SSPs and SPs to identify such elements and arrest them under relevant laws immediately.",श्री खान ने कहा कि शरारती तत्वों की पहचान और तुरंत गिरफ्तारी के लिए सभी उपायुक्तों और वरिष्ठ पुलिस अधिकारियों को निर्देश जारी किए गए हैं।
Khan appealed people not to pay attention to rumours and carry on their daily routine without fear.,उन्होंने लोगों से अफवाहों पर ध्यान न देने और अपना दैनिक कामकाज भयमुक्त होकर करने की अपील भी की।
"While enumerating the measures being done for promotion of overall tourism in the UT, the Advisor said several promotional activities and fairs have been done recently in different parts of the country for ensuring that the tourist flow to this part of country increases and this would, in turn, contribute to the economy besides generating employment opportunity to the locals and skilled youth.",प्रदेश में पर्यटन के समग्र विकास के लिए उठाये जा रहे कदमों का जिक्र करते हुए उपराज्यपाल के सलाहकार ने कहा कि हाल में प्रदेश के विभिन्न क्षेत्रों में इस तरह की गतिविधियों को बढ़ावा देने के लिए कई प्रयास किये गये हैं।
He said that special emphasis is being given in maintaining cleanliness and appealed people to extend support.,श्री पेगु ने कहा कि स्वच्छता बनाये रखने पर विशेष बल दिया जा रहा है।
He said that special emphasis is being given in maintaining cleanliness and appealed people to extend support.,उन्होंने लोगों से स्वच्छता बनाये रखने में सहयोग की अपील की है।
"Prime Minister Narendra Modi has congratulated General Bipin Rawat on taking over the charge as first Chief of Defence Staff and expressed delight on India getting its first CDS. In a series of tweets, the Prime Minister said General Rawat is an outstanding officer who has served India with great zeal and wished him best for the new responsibility.",उन्होंने नई ज़िम्मेदारी के लिए जनरल रावत को शुभकामनाएं दीं।
